case_id,family_id,expected_quality,challenge_type,score,grade,hard_failure_count,repeat_stddev,claim_count,reference_count,traceability_ratio,valid_reference_ratio,exact_quote_ratio
repo-00-good,repo-00,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-00-medium,repo-00,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-00-bad,repo-00,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-01-good,repo-01,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-01-medium,repo-01,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-01-bad,repo-01,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-02-good,repo-02,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-02-medium,repo-02,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-02-bad,repo-02,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-03-good,repo-03,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-03-medium,repo-03,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-03-bad,repo-03,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-04-good,repo-04,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-04-medium,repo-04,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-04-bad,repo-04,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-05-good,repo-05,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-05-medium,repo-05,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-05-bad,repo-05,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-06-good,repo-06,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-06-medium,repo-06,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-06-bad,repo-06,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-07-good,repo-07,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-07-medium,repo-07,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-07-bad,repo-07,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-08-good,repo-08,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-08-medium,repo-08,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-08-bad,repo-08,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-09-good,repo-09,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-09-medium,repo-09,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-09-bad,repo-09,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-10-good,repo-10,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
repo-10-medium,repo-10,medium,quality_ladder,61.5,C,0,0.0,2,1,0.5,1.0,1.0
repo-10-bad,repo-10,bad,quality_ladder,18.5,D,2,0.0,2,1,0.5,0.0,0.0
repo-11-good,repo-11,good,quality_ladder,100.0,A,0,0.0,3,4,1.0,1.0,1.0
